"8400 Ebeltoft","Sjælden hærfugl set på Mols",http://www.tv2oj.dk/artikel/279449:Syddjurs--Sjaelden-haerfugl-set-paa-Mols
"8362 Hørning","Par varetægtsfængslet sigtet for grov vold og forsøg på voldtægt",http://www.tv2oj.dk/artikel/279455:Skanderborg--Par-varetaegtsfaengslet-sigtet-for-grov-vold-og-forsOeg-paa-voldtaegt
"8700 Horsens","Par varetægtsfængslet sigtet for grov vold og forsøg på voldtægt",http://www.tv2oj.dk/artikel/279455:Skanderborg--Par-varetaegtsfaengslet-sigtet-for-grov-vold-og-forsOeg-paa-voldtaegt
"8541 Skødstrup","57-årig kæmpe agave blomstrer for første og sidste gang",http://www.tv2oj.dk/artikel/279458:Aarhus--57-aarig-kaempe-agave-blomstrer-for-fOerste-og-sidste-gang
"8900 Randers C","Ladefund: Veteranbiler har skabt interesse i hele verden",http://www.tv2oj.dk/artikel/279460:Randers--Ladefund--Veteranbiler-har-skabt-interesse-i-hele-verden
"8900 Randers C","Skarpt udfald mod byrådsmedlem",http://www.tv2oj.dk/artikel/279470:Randers--Skarpt-udfald-mod-byraadsmedlem
"8900 Randers C","Regnskab: Randers FC fik overskud på bundlinjen",http://www.tv2oj.dk/artikel/279472:Randers--Regnskab--Randers-FC-fik-overskud-paa-bundlinjen
"8000 Aarhus c"," Borger-penge til sociale projekter",http://www.tv2oj.dk/artikel/279475:Aarhus---Borger-penge-til-sociale-projekter
"8900 Randers C","Branding af byen: Penge ud af vinduet",http://www.tv2oj.dk/artikel/279481:Randers--Branding-af-byen--Penge-ud-af-vinduet
"8700 Horsens","Horsens IC imponerede i Svendborg",http://www.tv2oj.dk/artikel/279484:Horsens--Horsens-IC-imponerede-i-Svendborg
"8000 Aarhus c","36 forsøgspersoner har skiftet bilen ud med el-cykel",http://www.tv2oj.dk/artikel/279487:Aarhus--36-forsOegspersoner-har-skiftet-bilen-ud-med-el-cykel
"8000 Aarhus c","SK Aarhus fortsætter nedturen",http://www.tv2oj.dk/artikel/279492:Aarhus--SK-Aarhus-fortsaetter-nedturen
"8300 Odder","Gymnasieelever trækker i arbejdstøjet for Somaliland",http://www.tv2oj.dk/artikel/279516:oestjylland--Gymnasieelever-traekker-i-arbejdstOejet-for-Somaliland
"8410 Rønde","Gymnasieelever trækker i arbejdstøjet for Somaliland",http://www.tv2oj.dk/artikel/279516:oestjylland--Gymnasieelever-traekker-i-arbejdstOejet-for-Somaliland
"8600 Silkeborg","Gymnasieelever trækker i arbejdstøjet for Somaliland",http://www.tv2oj.dk/artikel/279516:oestjylland--Gymnasieelever-traekker-i-arbejdstOejet-for-Somaliland
"8000 Aarhus c","Gymnasieelever trækker i arbejdstøjet for Somaliland",http://www.tv2oj.dk/artikel/279516:oestjylland--Gymnasieelever-traekker-i-arbejdstOejet-for-Somaliland
"8400 Ebeltoft","Stor tilfredshed med de østjyske betjente ",http://www.tv2oj.dk/artikel/279519:oestjylland--Stor-tilfredshed-med-de-Oestjyske-betjente
"8500 Grenaa","Stor tilfredshed med de østjyske betjente ",http://www.tv2oj.dk/artikel/279519:oestjylland--Stor-tilfredshed-med-de-Oestjyske-betjente
"8870 Langå","Stor tilfredshed med de østjyske betjente ",http://www.tv2oj.dk/artikel/279519:oestjylland--Stor-tilfredshed-med-de-Oestjyske-betjente
"8300 Odder","Stor tilfredshed med de østjyske betjente ",http://www.tv2oj.dk/artikel/279519:oestjylland--Stor-tilfredshed-med-de-Oestjyske-betjente
"8900 Randers C","Stor tilfredshed med de østjyske betjente ",http://www.tv2oj.dk/artikel/279519:oestjylland--Stor-tilfredshed-med-de-Oestjyske-betjente
"8305 Samsø","Stor tilfredshed med de østjyske betjente ",http://www.tv2oj.dk/artikel/279519:oestjylland--Stor-tilfredshed-med-de-Oestjyske-betjente
"8000 Aarhus c","Stor tilfredshed med de østjyske betjente ",http://www.tv2oj.dk/artikel/279519:oestjylland--Stor-tilfredshed-med-de-Oestjyske-betjente
"8200 Aarhus N","Store fremtidsplaner for Lisbjerg",http://www.tv2oj.dk/artikel/279521:Aarhus--Store-fremtidsplaner-for-Lisbjerg
"8700 Horsens","Harmonikasammenstød lukkede motorvejen ved Horsens",http://www.tv2oj.dk/artikel/279523:Horsens--HarmonikasammenstOed-lukkede-motorvejen-ved-Horsens
"8200 Aarhus N","Ny klassetype skal inkludere alle elever",http://www.tv2oj.dk/artikel/279529:Aarhus--Ny-klassetype-skal-inkludere-alle-elever
"8900 Randers C","Fik tømt container med dyrt værktøj",http://www.tv2oj.dk/artikel/279536:Randers--Fik-tOemt-container-med-dyrt-vaerktOej
"8000 Aarhus c","Ligaklub forlænger med unge talenter",http://www.tv2oj.dk/artikel/279540:Aarhus--Ligaklub-forlaenger-med-unge-talenter
"8900 Randers C","Kvinde kørte frontalt ind i anden bilist ",http://www.tv2oj.dk/artikel/279549:Randers--Kvinde-kOerte-frontalt-ind-i-anden-bilist
"8000 Aarhus c","Aarhus-bokser bliver hos Sauerland",http://www.tv2oj.dk/artikel/279556:Aarhus--Aarhus-bokser-bliver-hos-Sauerland
"8000 Aarhus c","Anmelder: Befriende, at de går planken ud ",http://www.tv2oj.dk/artikel/279563:Aarhus--Anmelder--Befriende--at-de-gaar-planken-ud
"8600 Silkeborg","SIFs næste hjemmekamp er udsat",http://www.tv2oj.dk/artikel/279564:Silkeborg--SIFs-naeste-hjemmekamp-er-udsat
"8200 Aarhus N","Tidlig julegave: IKEA-ansatte får bonus ",http://www.tv2oj.dk/artikel/279567:Aarhus--Tidlig-julegave--IKEA-ansatte-faar-bonus
"8400 Ebeltoft","25 mio. kroner til renovering af Maltfabrikken i Ebeltoft",http://www.tv2oj.dk/artikel/279575:Syddjurs--25-mio--kroner-til-renovering-af-Maltfabrikken-i-Ebeltoft
"8600 Silkeborg","Nu bliver grøden skåret ned igen",http://www.tv2oj.dk/artikel/279578:Silkeborg--Nu-bliver-grOeden-skaaret-ned-igen
"8600 Silkeborg","Silkeborg vil lokke med gratis parkering inden julehandlen ",http://www.tv2oj.dk/artikel/279592:Silkeborg--Silkeborg-vil-lokke-med-gratis-parkering-inden-julehandlen
"8900 Randers C","Landstræner på østjysk charmeoffensiv ",http://www.tv2oj.dk/artikel/279597:oestjylland--Landstraener-paa-Oestjysk-charmeoffensiv
"8600 Silkeborg","Landstræner på østjysk charmeoffensiv ",http://www.tv2oj.dk/artikel/279597:oestjylland--Landstraener-paa-Oestjysk-charmeoffensiv
"8000 Aarhus c","Landstræner på østjysk charmeoffensiv ",http://www.tv2oj.dk/artikel/279597:oestjylland--Landstraener-paa-Oestjysk-charmeoffensiv
"8500 Grenaa","Uheld: Biler er stødt sammen ved Homå",http://www.tv2oj.dk/artikel/279599:Norddjurs--Uheld--Biler-er-stOedt-sammen-ved-Homaa
"8900 Randers C","Randers FC’er: Tændingen høj mod AGF ",http://www.tv2oj.dk/artikel/279608:Randers--Randers-FC-er--Taendingen-hOej-mod-AGF
"8000 Aarhus c","Randers FC’er: Tændingen høj mod AGF ",http://www.tv2oj.dk/artikel/279608:Randers--Randers-FC-er--Taendingen-hOej-mod-AGF
"8700 Horsens","Kæmpe forskelle på social trivsel på skoler i Østjylland ",http://www.tv2oj.dk/artikel/279616:oestjylland--Kaempe-forskelle-paa-social-trivsel-paa-skoler-i-oestjylland
"8883 Gjern","Fakta: Sådan er den sociale trivsel ",http://www.tv2oj.dk/artikel/279617:oestjylland--Fakta--Saadan-er-den-sociale-trivsel
"8670 Låsby","Fakta: Sådan er den sociale trivsel ",http://www.tv2oj.dk/artikel/279617:oestjylland--Fakta--Saadan-er-den-sociale-trivsel
"8381 Tilst","Fakta: Sådan er den sociale trivsel ",http://www.tv2oj.dk/artikel/279617:oestjylland--Fakta--Saadan-er-den-sociale-trivsel
